BNBBUSD,BNBBTC,BNBETH,BTCBUSD,DOGEBUSD,DOGEBTC,ETHBUSD,ETHBTC
425.90000000,0.00894800,0.12420000,47598.46000000,0.24220000,0.00000509,3432.00000000,0.07210000
426.90000000,0.00896500,0.12470000,47615.63000000,0.24210000,0.00000509,3424.28000000,0.07191100
425.10000000,0.00892500,0.12440000,47619.50000000,0.24200000,0.00000508,3417.99000000,0.07177200
424.70000000,0.00893600,0.12440000,47524.08000000,0.24180000,0.00000508,3414.64000000,0.07185400
423.50000000,0.00893200,0.12440000,47417.86000000,0.24150000,0.00000509,3402.17000000,0.07176200
425.50000000,0.00894800,0.12480000,47570.07000000,0.24180000,0.00000508,3411.70000000,0.07171200
428.40000000,0.00899500,0.12460000,47637.42000000,0.24260000,0.00000510,3439.37000000,0.07219500
427.70000000,0.00898100,0.12460000,47612.53000000,0.24230000,0.00000508,3431.92000000,0.07208600
427.10000000,0.00898300,0.12480000,47559.89000000,0.24170000,0.00000508,3423.97000000,0.07199000
425.00000000,0.00896700,0.12470000,47406.88000000,0.24100000,0.00000509,3406.76000000,0.07184900
428.90000000,0.00902600,0.12560000,47525.86000000,0.24150000,0.00000509,3414.75000000,0.07184300
431.10000000,0.00904400,0.12580000,47669.09000000,0.24170000,0.00000506,3424.00000000,0.07182900
430.20000000,0.00901800,0.12580000,47716.79000000,0.24140000,0.00000505,3422.12000000,0.07171200
431.10000000,0.00902900,0.12570000,47755.90000000,0.24340000,0.00000510,3431.89000000,0.07187000
433.30000000,0.00905700,0.12590000,47848.94000000,0.24290000,0.00000508,3442.06000000,0.07193400
433.60000000,0.00907600,0.12630000,47754.84000000,0.24230000,0.00000507,3433.70000000,0.07188400
431.00000000,0.00904100,0.12600000,47677.48000000,0.24190000,0.00000507,3422.10000000,0.07176900
432.50000000,0.00904100,0.12600000,47882.00000000,0.24280000,0.00000507,3436.42000000,0.07177700
434.90000000,0.00904000,0.12470000,48114.52000000,0.24410000,0.00000507,3489.08000000,0.07251800
435.30000000,0.00906000,0.12500000,48065.39000000,0.24450000,0.00000509,3482.74000000,0.07244900
436.00000000,0.00903700,0.12440000,48235.00000000,0.24430000,0.00000506,3502.57000000,0.07261600
